<<<<<<< HEAD
"","location_type","offence","occurrencehour","occurrenceday","premises_type","occurrencedayofweek","days","time"
"1","TTC_Subway_Tunnel","Mugging",14,"Begin","Transit","5","Weekday","Afternoon"
"2","Other_Commercial","Business",20,"Begin","Commercial","5","Weekday","Night"
"3","Other_Commercial","Business",20,"Begin","Commercial","5","Weekday","Night"
"4","Other_Commercial","Business",20,"Begin","Commercial","5","Weekday","Night"
"5","Single_Home_or_House","Home_Invasion",2,"Begin","House","3","Weekday","Night"
"6","Other_Commercial","Business",21,"Begin","Commercial","5","Weekday","Night"
"7","TTC_Bus_Stop","Other",15,"Begin","Outside","5","Weekday","Afternoon"
"8","Convenience_Stores","Business",20,"Begin","Commercial","5","Weekday","Night"
"9","Streets","Mugging",19,"Begin","Outside","6","Weekend","Night"
"10","Other_Commercial","Robbery_With_Weapon",17,"Begin","Commercial","6","Weekend","Afternoon"
"11","Other_Commercial","Robbery_With_Weapon",17,"Begin","Commercial","6","Weekend","Afternoon"
"12","Other_Commercial","Robbery_With_Weapon",17,"Begin","Commercial","6","Weekend","Afternoon"
"13","Other_Commercial","Business",18,"Begin","Commercial","6","Weekend","Afternoon"
"14","Parking_Lots","Robbery_With_Weapon",18,"Begin","Outside","6","Weekend","Afternoon"
"15","Streets","Vehicle_Jacking",20,"Begin","Outside","6","Weekend","Night"
"16","Streets","Mugging",23,"Begin","Outside","6","Weekend","Night"
"17","Streets","Vehicle_Jacking",0,"Begin","Outside","7","Weekend","Night"
"18","TTC_Subway_Tunnel","Mugging",15,"Begin","Transit","7","Weekend","Afternoon"
"19","Other_Commercial","Business",15,"Begin","Commercial","7","Weekend","Afternoon"
"20","TTC_Subway_Train","Mugging",15,"Begin","Transit","7","Weekend","Afternoon"
"21","TTC_Subway_Train","Other",15,"Begin","Transit","7","Weekend","Afternoon"
"22","Apartment","Other",18,"Begin","Apartment","7","Weekend","Afternoon"
"23","Streets","Robbery_With_Weapon",10,"Begin","Outside","1","Weekday","Morning"
"24","Streets","Delivery_Person",10,"Begin","Outside","1","Weekday","Morning"
"25","Streets","Delivery_Person",10,"Begin","Outside","1","Weekday","Morning"
"26","Gas_Station","Swarming",11,"Begin","Commercial","1","Weekday","Morning"
"27","Streets","Mugging",18,"Begin","Outside","1","Weekday","Afternoon"
"28","Parking_Lots","Vehicle_Jacking",0,"Begin","Outside","2","Weekday","Night"
"29","Other_Commercial","Mugging",14,"Begin","Commercial","2","Weekday","Afternoon"
"30","Commercial_Dwelling_Unit","Mugging",16,"Begin","Commercial","2","Weekday","Afternoon"
"31","Other_Commercial","Robbery_With_Weapon",19,"Begin","Commercial","2","Weekday","Night"
"32","Other_Commercial","Robbery_With_Weapon",19,"Begin","Commercial","2","Weekday","Night"
"33","Other_Commercial","Robbery_With_Weapon",19,"Begin","Commercial","2","Weekday","Night"
"34","Other_Commercial","Robbery_With_Weapon",19,"Begin","Commercial","2","Weekday","Night"
"35","Other_Commercial","Business",19,"Begin","Commercial","2","Weekday","Night"
"36","Apartment","Mugging",20,"Begin","Apartment","2","Weekday","Night"
